,beer_id,beer_name,abv,ibu,text,ibu_style_mean,bitter,style_name,brewery_name,city,state,country
263,3770,Spotted Cow,4.8,10.0,Cask conditioned ale has been the popular choice among brews since long before prohibition. We continue this pioneer spirit with our Wisconsin farmhouse ale. Brewed with flaked barley and the finest Wisconsin malts. We even give a nod to our farmers with ,55.0,0,American-Style Amber/Red Ale,New Glarus Brewing Company,New Glarus,Wisconsin,United States
264,3771,Mad Hatter IPA,5.8,10.0,"Dry-hopping provides a distinctive and floral hop aroma, while the lively and hoppy body is subtly balanced with delicious malt notes. Hatterí¢äåä¢s hop character makes it a great fit for spicy dishes, bitter greens and beef.",82.5,0,American-Style India Pale Ale,New Holland Brewing Company,Holland,Michigan,United States
265,3772,Black Tulip,9.0,10.0,Golden in color with a slightly sweet body. Its ester-laden character reveals an enigmatic dance between Belgian ale yeast and candy sugar complimented by a pleasing dry finish. Black Tulip is a versatile beer for food. Enjoyable pairings include mild ble,22.5,0,Belgian-Style Tripel,New Holland Brewing Company,Holland,Michigan,United States
266,3773,Z Lager,4.5,10.0,A unique flavored lager that goes well with any food.  A slight aromatic smoke flavor-but not over-powering.  A very popular beer with its own following wondering where's YOUR Z?,6.5,1,American-Style Lager,Fort Collins Brewery,Fort Collins,Colorado,United States
267,3775,Classic Pale Ale,5.5,10.0,"Doggie Style Pale Ale 
Meet the Alpha of the pack ... Flying Dog Classic Pale Ale is brilliant amber in color and dry hopped with buckets full of Cascades for an unrivaled hop flavor and aroma. This is a true representation of an American-style pale ale, ",15.0,0,American-Style Pale Ale,Flying Dog Brewery,Denver,Colorado,United States
268,3776,#9,4.6,10.0,"Not quite pale ale.  A beer cloaked in secrecy.  An ale whose mysterious unusual palate will swirl across your tongue and ask more questions than it answers.

A sort of dry, crisp, fruity, refreshing, not-quite pale ale.  #9 is really impossible to descri",15.0,0,American-Style Pale Ale,Magic Hat,South Burlington,Vermont,United States
269,3777,Miller Chill,4.1,10.0,"Launched in 2007, Miller Chill is the only light beer brewed with a hint of lime and a pinch of salt to provide a truly refreshing beer experience. Through all of our marketing efforts, beer drinkers will see that Miller Chill is a celebration and fusion ",11.5,0,American-Style Light Lager,Miller Brewing,Milwaukee,Wisconsin,United States
270,3778,Miller High Life,5.0,10.0,"Miller High Life, the \champagne of beers",11.5,0,American-Style Light Lager,Miller Brewing,Milwaukee,Wisconsin,United States
271,3779,Miller Genuine Draft,4.66,10.0,"Miller Genuine Draft debuted in 1985 with fresh, smooth flavor that's a result of being cold-filtered four times. As we capitalize on the growing trend towards \mainstream sophistication",11.5,0,American-Style Light Lager,Miller Brewing,Milwaukee,Wisconsin,United States
272,3780,Milwaukee's Best Light,4.5,10.0,"Milwaukee's Best Light is Miller Brewing Company's lead low-calorie brand in the near-premium segment. Brewed to uncompromising standards using select pale malt, cereal grains and yeast, this is a smooth, highly drinkable beer at an affordable price. Avai",11.5,0,American-Style Light Lager,Miller Brewing,Milwaukee,Wisconsin,United States
273,3781,Icehouse,5.5,10.0,"America's first domestic ice beer, Icehouse is traditionally brewed, fermented and, just before aging, its temperature is lowered to below freezing. This process imparts the beer's smoothness and an alcohol content that's slightly higher (5.5% by volume) ",11.5,0,American-Style Light Lager,Miller Brewing,Milwaukee,Wisconsin,United States
274,3784,Bud Light,4.2,10.0,"Introduced nationally in 1982, Bud Light is brewed using a blend of domestic and imported hops as well as a combination of barley malts and rice. It contains more malt and hops by ratio of ingredients than Budweiser, which gives the brew a distinctively c",11.5,0,American-Style Light Lager,Anheuser-Busch,Saint Louis,Missouri,United States
275,3785,Budweiser Select,4.3,10.0,Bud Select is a new beer offering a bold taste with a full and distinct flavor that finishes clean. Budweiser Select was developed using two-row and roasted specialty malts for a rich color. It offers excellent drinkability and a taste that does not linge,11.5,0,American-Style Light Lager,Anheuser-Busch,Saint Louis,Missouri,United States
276,3786,Abbey Triple,9.0,10.0,"The Triple is a strong, full-bodied Belgian abbey-style ale. The authentic Belgian yeast strain used in fermentation contributes to a rich array of spicy, phenolic, and fruit-like flavors and noticeable alcoholic warmth. This unfiltered ale has an irresis",22.5,0,Belgian-Style Tripel,Stoudt's Brewery,Adamstown,Pennsylvania,United States
277,3787,Golden Monkey Tripel,9.5,10.0,"Strong and sensual, this golden, Belgian-style ale glows with goodness. The richness of German malts and Belgian yeast are tempered by a sparkling approach and overall light body. Considerable depth of character with abundant herbal, fruity notes make thi",22.5,0,Belgian-Style Tripel,Victory Brewing,Downingtown,Pennsylvania,United States
278,3788,Broad Street Barleywine,8.7,10.0,"Our Barley Wine is dark red in color and has an original gravity of 1.120 (24 Plato). The malt complexity of this classic ale style is incredible.

The Broad Street Market is located just blocks from the Appalachian Brewing Company. This indoor farmers ma",65.0,0,American-Style Barley Wine Ale,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
279,3789,Water Gap Wheat,4.5,10.0,"This light refreshing wheat beer is sure to delight. Our special yeast and blend of malted and unmalted wheat provide the haze in our unfiltered style ale. This beer is traditionally served with a lemon slice on the side. 
There are many water gaps along ",17.5,0,Light American Wheat Ale or Lager,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
280,3790,Mountain Lager,4.5,10.0,"The Dortmunder-Export style of beer was developed in Westfalen, Germany, and is a classic light lager with great character. This style boasts a light golden blonde color and exhibits a moderate hop palate. The finish of our Mountain Lager is rich yet mell",6.5,1,American-Style Lager,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
281,3791,Volks Weizenbock,7.2,10.0,"Volks Weizenbock combines the strong malty component of a bock bier with the tangy, spiciness of the Hefe Weizen.  This beer is brewed 1 1/2 times stronger than our Hefe Weizen and is aged commensurately longer for extra smoothness!  
Volks Weizenbock is ",38.5,0,South German-Style Weizenbock,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
282,3792,Purist Pale Ale,4.9,10.0,"Our light copper pale ale has a delicate malt attribute balanced by an aggressive hop flavor and aroma. Many American micros have developed their own version of this classic English style beer. Our brewers anticipate that you will enjoy their variation. 
",15.0,0,American-Style Pale Ale,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
283,3793,Jolly Scot Scottish Ale,5.2,10.0,"This flavorful sweet ale has a smooth malt finish balanced against a light hop flavor. This beer is very quaffable and has become a brewpub favorite throughout the United States. 
\Jolly Scot\"" was a famed local beer produced by R.H. Graupners Brewery tha",55.0,0,Scotch Ale,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
284,3794,Hoppy Trails India Pale Ale,6.2,10.0,"This IPA is an exciting beer with a floral in aroma and an incredible hop flavor. The maltiness is increased (over a regular pale ale) to help balance the aggressive hop usage. This contributes to the higher alcohol content as well. 
When India was part o",82.5,0,American-Style India Pale Ale,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
285,3795,Susquehanna Stout,4.6,10.0,"This representation of the classic Irish Dry Stout has a smooth roast flavor due to the use of specially roasted barley. The barley kernels are kilned at very high temperatures until they are dark brown to black in color. 
The Susquehanna River is named a",65.0,0,American-Style Stout,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
286,3796,Zoigl Star Lager,5.9,10.0,"Zoigl is a golden, unfiltered lager beer which was originally brewed only in the region of Eastern Bavaria, between Franconia and the Czech Republic. For centuries, Zoigl was brewed in brewhouses owned by the town or an association of small brewers. 

The",6.5,1,American-Style Lager,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
287,3797,Abbey Roade Belgian Ale,6.4,10.0,Abbey Roade is brewed in the tradition of the famous Belgian Abbey-style ales.  This wonderful brew is soft and sweet up front.  The complex and spicy middle palate is in most part due to the generous addition of dark Belgian candy sugar.  This semi-dry a,30.0,0,Other Belgian-Style Ales,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
288,3798,Celtic Knot Irish Red,4.8,10.0,This wonderful red ale has a perfect balance of hops and malt.  The clean finish will leave your palate begging for more.,55.0,0,American-Style Amber/Red Ale,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
289,3799,Peregrine Pilsner,4.8,10.0,"This Czechoslovakian style Pilsner is golden in color and hopped with a bunch of genuine Czechoslovakian Saaz hops. These hops provide a special floral aroma and a delightfully hoppy finish.
Peregrine Falcons were recently reintroduced to the Harrisburg a",20.0,0,German-Style Pilsener,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
290,3800,Anniversary Maibock,7.2,10.0,The Maibock style was traditionally produced in the winter and released in early May to celebrate the coming of Spring. This malty lager is deep golden in color and medium in body. The finish holds a bold sweetness that is balanced by a subtle hop flavor ,25.0,0,German-Style Heller Bock/Maibock,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
291,3801,Hinterland Hefe Weizen,5.3,10.0,"A special German wheat ale yeast produces clove and banana flavors during fermentation leaving this unfiltered beer with an incredibly spicy and fruity complexity!

Our Brewmaster has acquired many medals at the Great American Beer Festival for this beer ",15.0,0,South German-Style Hefeweizen,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
292,3802,Dom Blonde Kí_lsch,5.0,10.0,"The first in a series of two new specialty beers coming this year! This Kí_lsch-styled ale is clean, crisp, and delicately balanced. It has very subtle pear flavors and aromas. The subdued maltiness leads to a pleasantly refreshing finish. A fantastic s",,0,Undefined-Ignore,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
293,3803,Kipona Fest,5.2,10.0,This Oktoberfest style Marzen is a favorite at the famous Bavarian fall beer festivals. The distinct toasted malt flavor of this amber lager finishes quite crisp due to the extensive lagering of this beer. One sip and youí¢äåä¢ll swear youí¢äåä¢re in ,26.0,0,German-Style Oktoberfest,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
294,3804,Trail Blaze Organic Brown Ale,5.3,10.0,"Trail Blaze Organic American Brown Ale exhibits a beautiful deep copper color and an evident hop bitterness & aroma.  This is balanced against roasted caramel-like characteristics and hints of chocolate. 

Our first in a series of organic beers is named f",30.0,0,American-Style Brown Ale,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
295,3805,Pennypacker Porter,5.4,10.0,"This full-bodied dry cousin of the stout has a slight roast flavor and is dark brown in color with a red hue. This is Londoní¢äåä¢s classic beer style named for the baggage carriers that appreciated it so much.
Governor Pennypacker was one of Pennsylvan",36.0,0,Porter,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
296,3806,Grinnin' Grizzly Spiced Ale,5.7,10.0,"This amber ale is dosed with cinnamon, nutmeg, ginger, and fresh orange zest. It is well balanced with low hop flavor and nice hint of the spices in the finish. This spiced ale is not overbearing; rather it is smooth and very drinkable.",55.0,0,American-Style Amber/Red Ale,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
297,3807,Sophie's Sparkling Ale,4.3,10.0,"This Braggart Mead styled ale is light and refreshing with an essence of orange blossoms, pear, and honey in the aroma and a balanced fruity and clean finish. 

This style was developed by our Brewmaster to have the perfect carbonation and crispness on ou",,0,Undefined-Ignore,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
298,3808,Coconut Porter,4.5,10.0,"Based on the winning Homebrew Contest entry by John Slotterback and Fred Rogers, this dark, roasty porter is infused with fresh coconut which produces a sweet finish.  The coconut balances the chocolaty notes, producing a taste not unlike German chocolate",36.0,0,Porter,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
299,3809,Wildflower Honey Wheat,4.5,10.0,"This American wheat beer is infused with 20% wildflower honey resulting in a light, semi-sweet refreshing beverage.  This beer represents the next evolution of Sophieí¢äåä¢s Sparkling Ale as we have added the wheat base, essentially combining two of our",17.5,0,Light American Wheat Ale or Lager,Appalachian Brewing Company,Harrisburg,Pennsylvania,United States
300,3810,Lucky Kat,5.8,10.0,"A deep golden IPA with a firm malt body, finishing with a big hop aroma.",82.5,0,American-Style India Pale Ale,Magic Hat,South Burlington,Vermont,United States
301,3811,Miller Lite,4.2,10.0,"Our flagship brand, Miller Lite, is the great tasting, less filling beer that defined the American light beer category in 1975. We deliver a clear, simple message to consumers: \Miller Lite is the better beer choice.\"" What's our proof? 
1) Miller Lite is",11.5,0,American-Style Light Lager,Miller Brewing,Milwaukee,Wisconsin,United States
302,3812,Yuengling Lager,4.4,10.0,"Yuengling Traditional Lager is an iconic American lager famous for its rich amber color and medium-bodied flavor. Brewed with roasted caramel malt for a subtle sweetness and a combination of cluster and cascade hops, this true original promises a well bal",6.5,1,American-Style Lager,Yuengling & Son Brewing,Pottsville,Pennsylvania,United States
303,3813,Yuengling Lager Light,3.4,10.0,"True to its American heritage, Yuengling Light Lager is an exceptional brew that appeals to consumers who don't want to sacrifice character for a low-calorie light beer. It has been masterfully developed to maintain the full flavor profile akin to our fla",11.5,0,American-Style Light Lager,Yuengling & Son Brewing,Pottsville,Pennsylvania,United States
304,3814,Yuengling Porter,4.7,10.0,"Yuengling Dark Brewed Porter is an original specialty beer that has been brewed expressly for tavern owners and family trade since 1829. We are proud to be recognized as one of the largest porter producers in the US. An authentic craft-style beer, our Por",36.0,0,Porter,Yuengling & Son Brewing,Pottsville,Pennsylvania,United States
305,3815,Yuengling Black and Tan,4.7,10.0,"Yuengling Original Black & Tan is a pioneer brand that models a traditional English Half & Half. Introduced in 1986, Yuengling produced one of the first hand-crafted draft blends to lead this style of American brewing. Black & Tan combines our popular Dar",,0,Undefined-Ignore,Yuengling & Son Brewing,Pottsville,Pennsylvania,United States
306,3816,Lord Chesterfield Ale,5.4,10.0,"One of our distinct classic beers brewed since 1829, Yuengling Lord Chesterfield Ale has as much rich heritage as it does flavor and appeal. Crafted in a unique two-stage European brewing style for enhanced bitterness, it utilizes both conventional kettle",15.0,0,American-Style Pale Ale,Yuengling & Son Brewing,Pottsville,Pennsylvania,United States
307,3817,Yuengling Premium Beer,4.4,10.0,"A regional favorite, Yuengling Premium Beer is popular among local beer drinkers for its thirst quenching taste. It is a pilsner-style brew, gold in color with pale malt character that finishes crisp and clean. Premium flawlessly blends both two-row and s",6.5,1,American-Style Lager,Yuengling & Son Brewing,Pottsville,Pennsylvania,United States
308,3818,Yuengling Premium Light,3.5,10.0,"Yuengling Light Beer is skillfully crafted to deliver a consistently refreshing brew with only 98 calories. Drawing from traditional brewing techniques, our Light Beer is brewed longer to reduce the sugar content and produce fewer calories in each thirst-",11.5,0,American-Style Light Lager,Yuengling & Son Brewing,Pottsville,Pennsylvania,United States
309,3819,Throwback Lager,5.4,10.0,"Our Crisp, lighter in body, yet still full flavored brew.  Before Prohibition, thirst quenching lagers were firm and substantial, and enjoyed in huge volumes. This recipe incorporates yeast from the C. Schmidt Brewery of Philadelphia and a small portion o",6.5,1,American-Style Lager,Victory Brewing,Downingtown,Pennsylvania,United States
310,3820,Prima Pils,5.3,10.0,"Heaps of hops give this pale lager a bracing, herbal bite over layers of soft and smooth malt flavor. This refreshing combination of tastes makes Prima a classy quencher in the tradition of the great pilsners of Europe. Dry and delightful, this is an eleg",20.0,0,German-Style Pilsener,Victory Brewing,Downingtown,Pennsylvania,United States
311,3821,Victory Lager,4.8,10.0,"Perfectly balanced, this authentic version of a German helles-style lager satisfies gloriously. Lean, German malts and fine European hops offer subtle harmony.",6.5,1,American-Style Lager,Victory Brewing,Downingtown,Pennsylvania,United States
312,3822,St. Boisterous Hellerbock,7.3,10.0,"A full-bodied lager beer of exuberant and robust character. Ití¢äåä¢s muscle-man body comes from decocted German malts and noble German hops. Lagered long and cold to refine its strong temperament, St. Boisterous emerges smooth and seductive, with a mal",25.0,0,German-Style Heller Bock/Maibock,Victory Brewing,Downingtown,Pennsylvania,United States
313,3823,Sunrise Weissbier,5.7,10.0,"As invigorating as the morning rays of the summer sun, Sunrise Weissbier satisfies when the heat is on, too. This unfiltered, Bavarian style ale is true to its origins with all ingredients except for the water having been imported from Germany. It remains",15.0,0,South German-Style Hefeweizen,Victory Brewing,Downingtown,Pennsylvania,United States
314,3824,Whirlwind Wit,5.0,10.0,"A swirling dynamo of flavor, with a steady calm of satisfaction at its heart, that's Whirlwind Witbier. Offering a tamed tempest of flavors both spicy and sublime, this softly fermented ale greets the nose and tingles the tongue. Imported Belgian yeast ch",17.0,0,Belgian-Style White,Victory Brewing,Downingtown,Pennsylvania,United States
315,3825,Festbier,5.6,10.0,"Seductively smooth, this medium-bodied amber beauty is akin to the great Oktoberfest beers of Munich. All German malts and whole flower European hops make this lager true to style.",26.0,0,German-Style Oktoberfest,Victory Brewing,Downingtown,Pennsylvania,United States
316,3826,Hop Wallop,8.5,10.0,"We celebrate the pioneering spirit of old Horace 'Hop' Wallop and those who dare mighty adventurous things in this vivid, robust ale. As our annual homage to the hop harvest, expect loads of aromatic splendor and bitter beauty.",35.0,0,Imperial or Double India Pale Ale,Victory Brewing,Downingtown,Pennsylvania,United States
317,3827,Moonglow Weizenbock,8.7,10.0,"This dark amber wheat beer features fruity and spicy aromas galore.  Significant strength underlies the pleasant citric appeal of this bock beer. Redolent with the flavors of harvest fruit, Moonglow typifies the traditional weizenbock-style so thoroughly ",38.5,0,South German-Style Weizenbock,Victory Brewing,Downingtown,Pennsylvania,United States
318,3828,Old Horizontal,14.5,10.0,"A luxurious, warming barleywine rich with aromatic hops and dark, candied fruit character that hides its epic strength masterfully.",65.0,0,American-Style Barley Wine Ale,Victory Brewing,Downingtown,Pennsylvania,United States
319,3829,St. Victorious,7.6,10.0,"From the tradition started by the monks of St. Francis of Paula in 1634 comes this warming beer of rich heritage. A dark, rich lager of sublime complexity and character, St. Victorious is created from multiple German malts. Laborious decoction mashing yie",6.5,1,American-Style Lager,Victory Brewing,Downingtown,Pennsylvania,United States
320,3830,Storm King Imperial Stout,9.1,10.0,"With a huge, Pacific Northwest hop aroma & character upfront, Storm King subsides into massive, roast malt complexity. More flavor than mere words can adequately describe. Rich and substantial, it will warm your heart.",42.5,0,American-Style Imperial Stout,Victory Brewing,Downingtown,Pennsylvania,United States
321,3831,V-12,12.0,10.0,"Heady with a aromatic fruity start and taste, this amber ale features hints of pear and apricot in its well-nuanced flavor. The initial impression of fruitiness concludes in a refreshing dryness that begs you to sip again. Be fore- warned, this ale is imm",30.0,0,Other Belgian-Style Ales,Victory Brewing,Downingtown,Pennsylvania,United States
322,3832,Hop Devil India Pale Ale,6.7,10.0,"Menacingly delicious, with the powerful, aromatic punch of whole flower American hops backed up by rich, German malts. HopDevil Ale offers a roller coaster ride of flavor, coasting to a smooth finish that satisfies fully.",82.5,0,American-Style India Pale Ale,Victory Brewing,Downingtown,Pennsylvania,United States
323,3833,Coors Original,5.0,10.0,"Coors beer, first introduced by Adolph Coors in April, 1874, is brewed in the Rockies for a uniquely crisp, clean and drinkable \Mile High Taste.\""

During World War II",11.5,0,American-Style Light Lager,Coors Brewing - Golden Brewery,Golden,Colorado,United States
324,3834,Coors Light,4.2,10.0,"Coors Light is Coors Brewing Company's largest-selling brand and the fourth best-selling beer in the U.S. Introduced in 1978, Coors Light has been a favorite in delivering the ultimate in cold refreshment for more than 25 years. The simple, silver-toned c",11.5,0,American-Style Light Lager,Coors Brewing - Golden Brewery,Golden,Colorado,United States
325,3835,Coors Extra Gold Lager,5.0,10.0,"Coors' Extra Gold Lager is a rich, full-flavored lager that has a deep golden color.  Extra Gold Lager starts with the slow aging of its roasted malts, which are then combined with its other premium ingredients and slow-brewed to produce this exceptional,",6.5,1,American-Style Lager,Coors Brewing - Golden Brewery,Golden,Colorado,United States
326,3836,Molson Canadian,5.0,10.0,"Molson beers are imported directly from Canada.  Crystal-clear, pure Canadian water, the finest Canadian prairie grains and select European hops give Molson a brewing heritage that dates back to 1786.

Molson Canadian is Molson Brewing Company's flagship ",6.5,1,American-Style Lager,Molson Breweries of Canada,Toronto,Ontario,Canada
327,3837,Harvest Moon Pumpkin,5.7,10.0,"This amber-colored, naturally pumpkin flavored ale is brewed only in the autumn and combines the flavor of vine-ripened pumpkin and spices. If you're in the mood for something unique and different to go along with the change of season, autumn is the perfe",27.5,0,Pumpkin Beer,Coors Brewing - Golden Brewery,Golden,Colorado,United States
328,3838,Zima Clear,5.0,10.0,"Zima is redefining refreshment. Zima flavored malt beverages are a great choice for adult consumers who seek variety and new and different products. Zima was reformulated in 2007 and is available in three citrus-based flavors.

Zima is lighter in carbonat",,0,Undefined-Ignore,Coors Brewing - Golden Brewery,Golden,Colorado,United States
329,3839,Blue Moon Belgian White,5.4,10.0,"Blue Moon Belgian White, Belgian-style wheat ale, is a refreshing, medium-bodied, unfiltered Belgian-style wheat ale spiced with fresh coriander and orange peel for a uniquely complex taste and an uncommonly smooth finish.

The name \Belgian White\"" is a ",17.0,0,Belgian-Style White,Coors Brewing - Golden Brewery,Golden,Colorado,United States
330,3840,Killian's Irish Red,4.9,10.0,"Killian's Irish Red is a traditional lager with an authentic Irish heritage, based on the Killian family's recipe created for the Killian's brewery in Enniscorthy, Ireland in 1864. Coors acquired the rights to brew and market the product in America and Ki",6.5,1,American-Style Lager,Coors Brewing - Golden Brewery,Golden,Colorado,United States
331,3841,Sunshine Pils,5.3,10.0,"Hop fans rejoice! Sunshine Pils combines the crisp taste of European style pilsners with a kicked-up hop character to create a balanced, refreshing seasonal beer. Golden in color with a fluffy white head, Sunshine Pils is the perfect beer for Summer.",20.0,0,German-Style Pilsener,Troegs Brewing,Harrisburg,Pennsylvania,United States
332,3842,V-Saison,7.5,10.0,"Our latest release in the V Series of bottle conditioned, Belgian-inspired ales is heady with an earthy, aromatic hop start. Involving hops from the Czech Republic, Germany and England, this flavorful ale slides into flavors of honey and mildly tart fruit",30.0,0,Other Belgian-Style Ales,Victory Brewing,Downingtown,Pennsylvania,United States
333,3843,Apricot Wheat,4.7,10.0,A light American wheat ale with the delicate aroma and flavor of apricot.  ABV  4.7%,17.5,0,Light American Wheat Ale or Lager,Otto's Pub and Brewery,State College,Pennsylvania,United States
334,3844,Spruce Creek Lager,4.8,10.0,This light refreshing American lager has a malty smooth character and low hop bitterness.,6.5,1,American-Style Lager,Otto's Pub and Brewery,State College,Pennsylvania,United States
335,3845,Spring Creek Lager,5.2,10.0,A Vienna-style lager with a smooth malt palate and a dry finish. ABV 5.2%,6.5,1,American-Style Lager,Otto's Pub and Brewery,State College,Pennsylvania,United States
336,3846,Red Mo Ale,5.0,10.0,"An American red ale brewed with Northern Brewer for the bittering and Liberty in the hopback.  Very malty and crisp, this ale has all the fun without the AMD.  ABV  5.0%",15.0,0,American-Style Pale Ale,Otto's Pub and Brewery,State College,Pennsylvania,United States
337,3847,Mt. Nittany Pale Ale,5.0,10.0,"An American pale ale brewed with Centennial hops and hopbacked with Cascade, it's a real refresher that has a spicy, citrus aroma and a slightly nutty malt flavor.  ABV  5.0%",15.0,0,American-Style Pale Ale,Otto's Pub and Brewery,State College,Pennsylvania,United States
338,3848,Double D IPA,8.2,10.0,"Hopheads rejoice!  This strong IPA takes the style to a new level.  It's a big Imperial IPA packed with Nugget, Palisade, and Amarillo hops.  ABV  8.2%",35.0,0,Imperial or Double India Pale Ale,Otto's Pub and Brewery,State College,Pennsylvania,United States
339,3849,Black Mo Stout,4.6,10.0,A dry Irish-style stout served via nitrogen.  Black Mo is a very smooth and creamy beer with a pleasant roasted malt character.,65.0,0,American-Style Stout,Otto's Pub and Brewery,State College,Pennsylvania,United States
340,3850,Tripel Ale,9.6,10.0,An Abbey-style Tripel ale. This light colored traditional tripel is made with Pils malt and candisugar and fermented with a traditional yeast strain. Esterey and strong best describe this unique specialty beer.,22.5,0,Belgian-Style Tripel,Otto's Pub and Brewery,State College,Pennsylvania,United States
341,3851,Dubbel Ale,5.2,10.0,"An Abbey-style Dubbel ale. This dark amber brown ale is full of apple, raisin, and banana esters with a smooth malty finish.",37.5,0,Belgian-Style Dubbel,Otto's Pub and Brewery,State College,Pennsylvania,United States
342,3852,Arthur's Nugget Pale Ale,5.2,10.0,A cask-conditioned American Pale Ale. This is a bright dry ale brewed only with American Nugget hops.,15.0,0,American-Style Pale Ale,Otto's Pub and Brewery,State College,Pennsylvania,United States
343,3853,Labatt Blue,4.7,10.0,"Labatt Blue is the best-selling Canadian beer in the world. Introduced in 1951 as Labatt Pilsener, it was named for the colour of its label by fans of the Winnipeg Blue Bombers football team. Blue was the first brand in Canada with a twist-off cap and won",6.5,1,American-Style Lager,Labatt Ontario Breweries,London,Ontario,Canada
344,3854,Labatt Ice,5.6,10.0,"Labatt Ice, introduced in 1993, was the worldí¢äåä¢s first Ice-Brewedí¢äó_¢ beer and the most successful new brand introduction in Canadian brewing history. Labatt Ice is a fully fermented beer that is allowed to mature at cold temperatures. Labatt Ice",6.5,1,American-Style Lager,Labatt Ontario Breweries,London,Ontario,Canada
345,3855,Labatt Blue Light,4.0,10.0,"Labatt Blue Light was introduced in 1983 as a lower alcohol, lower calorie version of Canadaí¢äåä¢s most popular brand. Blue Light uses specially selected North American aromatic hops and the same strain of lager yeast as the one used to produce Labatt ",11.5,0,American-Style Light Lager,Labatt Ontario Breweries,London,Ontario,Canada
346,3856,Labatt Bleue Dry,6.1,10.0,"Labatt Bleue Dry, the second addition to the Bleue family, is brewed with the same care and attention to detail as Labatt Bleue. Labatt Bleue Dry is mashed longer than regular beers to leave less carbohydrate (sugar) in the finished beer, giving a clean, ",20.0,0,German-Style Pilsener,Labatt Ontario Breweries,London,Ontario,Canada
347,3857,Labatt Crystal,5.0,10.0,"Labatt Crystal was introduced to Ontario in the late 1800s as one of the first lagers brewed by Labatt. World-renowned Saaz hops are used to give this beer a clean, almost sweet taste which nicely balances the fuller body, higher bitterness and richer tas",6.5,1,American-Style Lager,Labatt Ontario Breweries,London,Ontario,Canada
348,3858,Labatt Extra Dry,5.5,10.0,"Labatt Extra Dry was the first national launch of a dry beer in Canada. Labatt Extra Dry is mashed longer than regular beers to leave less carbohydrate in the finished product, giving a lighter flavour with little aftertaste.",6.5,1,American-Style Lager,Labatt Ontario Breweries,London,Ontario,Canada
349,3859,Labatt 50,5.0,10.0,"John and Hugh Labatt, grandsons of founder John K. Labatt, launched Labatt 50 in 1950 to commemorate 50 years of partnership. The first light-tasting ale introduced in Canada, Labatt 50 was Canadaí¢äåä¢s best-selling beer until 1979 when, with the incre",15.0,0,American-Style Pale Ale,Labatt Ontario Breweries,London,Ontario,Canada
350,3860,Genuine Lager,5.0,10.0,"Originally introduced in 1992, Genuine Lager has evolved into a truly definitive Canadian Lager. Balancing a blend of quality aromatic and bittering hops with its medium body, Genuine Lager is a smooth, refreshing and easy-drinking beer with a subtle hop ",6.5,1,American-Style Lager,Labatt Ontario Breweries,London,Ontario,Canada
351,3861,Genuine Honey Lager,5.0,10.0,"Genuine Honey Lager was introduced in 2005 in response to consumer demand for honey lagers. Labatt Genuine Honey uses genuine, all-natural, 100% Canadian honey to give consumers a softer, smoother taste. This naturally-aged lager is brewed to the same unc",6.5,1,American-Style Lager,Labatt Ontario Breweries,London,Ontario,Canada
352,3862,Labatt Wildcat,4.9,10.0,"Wildcat is a popular priced, quality lager introduced in 1993. Conventional brewing processes are used to produce a quality mainstream lager using corn adjunct to deliver a light, dry flavour.",6.5,1,American-Style Lager,Labatt Ontario Breweries,London,Ontario,Canada
353,3863,Labatt Sterling,4.0,10.0,"With only 88 calories per 341 ml bottle, Labatt Sterling is a light, refreshing beer with 1/3 less calories than regular beers. In other words, it's a great tasting beer...that won't slow you down.",11.5,0,American-Style Light Lager,Labatt Ontario Breweries,London,Ontario,Canada
354,3864,Original White Ale,5.0,10.0,"Hoegaarden, both unique and very refreshing, is an authentic Belgian wheat beer. In fact, it is the original í¢äåñWití¢äå beer! First brewed in 1445, this top-fermented beer is refermented in the bottle or keg. Hoegaarden has a distinctive, cloudy ye",,0,Undefined-Ignore,Brouwerij van Hoegaarden,Hoegaarden,Vlaams Brabant,Belgium
